scenario,scenario_label,comparison,paired_reps,EC_diff_pp,EC_diff_mcse_pp,IL_diff,bias_diff,abs_bias_diff,RMSE_diff,se_to_sd_ratio_diff
N0,N0 Normal,RBC MSE minus Conventional MSE,5000,7.76,0.4335828396232525,0.028931134995888168,-0.03894710357239701,-0.03894710357239701,-0.011639765433803267,0.07057514229390227
N1,N1 Severe skewness,RBC MSE minus Conventional MSE,5000,8.559999999999999,0.4324149356061918,0.027391900745989007,-0.038111432368237726,-0.038111432368237726,-0.012045124350437392,0.08151541569868548
N2,N2 Extreme t3 tails,RBC MSE minus Conventional MSE,5000,7.48,0.43272089096078414,0.027021351104615236,-0.03735992781413895,-0.03735992781413895,-0.010124959925201862,0.06883795042343843
N3,N3 One-sided contamination,RBC MSE minus Conventional MSE,5000,8.459999999999999,0.4210951724121826,0.026314746703393167,-0.037225718654545714,-0.037225718654545714,-0.01048512732392369,0.08062857738674423
