n,method,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
5000,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,114,0.09394094232653287,0.002639318563520765
5000,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0158,0.0158113883008419,estimate,S_shrink_delta_0.0158 - continuous,5000,0.0058356342380839685,0.00015192215292302206
5000,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.002991728153311261,9.554900891451496e-05
5000,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005430212730960629,0.00014268476786085822
5000,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.008603646842891,0.00018723540556083788
5000,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.01000644272456904,0.00025407921616307707
5000,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.018762734779496283,0.00027967670369696867
5000,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,4962,0.031232331297104864,0.00032171018256110264
5000,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4014,0.0475256294196064,0.00038905027957543105
5000,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,968,0.06990073659235109,0.0008363273493808347
