n,method,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
1000,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0008530326833377801,0.00014443376902947887
1000,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.0013783969775182636,0.0002090424029495243
1000,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.0017300534769784217,0.0002725794290269234
1000,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.003183683556168772,0.00034269135961073643
1000,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.004444381442967956,0.0004287113171083687
1000,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,5000,0.004894554363876527,0.000506394566070673
1000,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4999,0.008117435913562874,0.0005631407366843179
1000,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,4993,0.011336332612724894,0.0006373403238607275
1000,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,4966,0.016757689965117954,0.0007083883161427593
1000,RBC MSE,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,estimate,S_shrink_delta_0.0354 - continuous,5000,0.004945287987627247,0.0005095205028936178
1500,Bias-aware/Honest,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0032586368962102897,0.00012897141202621457
1500,Bias-aware/Honest,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.005456927002176036,0.0001918991196712439
1500,Bias-aware/Honest,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.008144958058851333,0.00024397468973255662
1500,Bias-aware/Honest,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.01233388193444649,0.00030641562190269865
1500,Bias-aware/Honest,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.016956232027731465,0.00039091557447173893
1500,Bias-aware/Honest,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,5000,0.020389924887875006,0.00043465619123121924
1500,Bias-aware/Honest,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4999,0.03345159643011478,0.00047376071582289433
1500,Bias-aware/Honest,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,4961,0.049130331409939186,0.0005286757821444443
1500,Bias-aware/Honest,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,4733,0.06730392610280661,0.0005868441292878877
1500,Bias-aware/Honest,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,estimate,S_shrink_delta_0.0289 - continuous,5000,0.016434105072525473,0.00037619510664109847
1500,Conventional MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.003258636896210186,0.0001289714120262134
1500,Conventional MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.0054569270021762985,0.00019189911967124767
1500,Conventional MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.008144958058851313,0.00024397468973255687
1500,Conventional MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.012333881934446128,0.0003064156219026962
1500,Conventional MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.01695623202773158,0.000390915574471735
1500,Conventional MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,5000,0.020389924887875055,0.0004346561912312169
1500,Conventional MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4999,0.033451596430114694,0.0004737607158228969
1500,Conventional MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,4961,0.049130331409938936,0.0005286757821444529
1500,Conventional MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,4733,0.06730392610280718,0.0005868441292878674
1500,Conventional MSE,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,estimate,S_shrink_delta_0.0289 - continuous,5000,0.016434105072525823,0.0003761951066410973
1500,RBC MSE,fixed_delta_0.01,F_delta_0.01,0.01,estimate,F_delta_0.01 - continuous,5000,0.0007961639081078608,0.000127062861261182
1500,RBC MSE,fixed_delta_0.015,F_delta_0.015,0.015,estimate,F_delta_0.015 - continuous,5000,0.0012395607681444573,0.00019093002679721187
1500,RBC MSE,fixed_delta_0.02,F_delta_0.02,0.02,estimate,F_delta_0.02 - continuous,5000,0.001503238137475721,0.0002446698712510122
1500,RBC MSE,fixed_delta_0.025,F_delta_0.025,0.025,estimate,F_delta_0.025 - continuous,5000,0.0029870015496727543,0.00031399917202423126
1500,RBC MSE,fixed_delta_0.03,F_delta_0.03,0.03,estimate,F_delta_0.03 - continuous,5000,0.00397041637617123,0.0003907841245181849
1500,RBC MSE,fixed_delta_0.035,F_delta_0.035,0.035,estimate,F_delta_0.035 - continuous,5000,0.005272317757123412,0.00045533395099000553
1500,RBC MSE,fixed_delta_0.04,F_delta_0.04,0.04,estimate,F_delta_0.04 - continuous,4999,0.008322783000996908,0.000514446145065235
1500,RBC MSE,fixed_delta_0.045,F_delta_0.045,0.045,estimate,F_delta_0.045 - continuous,4961,0.011780146223636866,0.0005795538534549774
1500,RBC MSE,fixed_delta_0.05,F_delta_0.05,0.05,estimate,F_delta_0.05 - continuous,4733,0.019012445018836397,0.0006378582265325769
