n,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
1000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,RBC MSE - Conventional MSE,4966,0.04056901216858344,8.212233152391657e-05
1000,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,ci_length,RBC MSE - Conventional MSE,5000,0.025638341776803894,7.347196083032739e-05
1500,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,RBC MSE - Conventional MSE,5000,0.014525353780911257,4.25669060173481e-05
1500,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,RBC MSE - Conventional MSE,5000,0.015301489427378766,4.0953213233471515e-05
1500,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,RBC MSE - Conventional MSE,5000,0.016497403157002412,4.0760488423739315e-05
1500,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,RBC MSE - Conventional MSE,5000,0.01788510971979802,4.155039661613522e-05
1500,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,RBC MSE - Conventional MSE,5000,0.019883353523429532,5.06474012155045e-05
1500,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,RBC MSE - Conventional MSE,5000,0.021201082785665404,5.5444143378810973e-05
1500,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,RBC MSE - Conventional MSE,4999,0.026965250352510108,8.848747147227619e-05
1500,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,RBC MSE - Conventional MSE,4961,0.03414142773581473,7.22905896252494e-05
1500,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,RBC MSE - Conventional MSE,4733,0.0358038475027268,4.7194499253526584e-05
1500,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,ci_length,RBC MSE - Conventional MSE,5000,0.019869708578373682,4.8851471434100196e-05
2000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,RBC MSE - Conventional MSE,5000,0.012358257850268013,3.217050359409396e-05
2000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,RBC MSE - Conventional MSE,5000,0.013150807610676093,3.155035537210889e-05
2000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,RBC MSE - Conventional MSE,5000,0.014265567997672202,3.293196881264974e-05
2000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,RBC MSE - Conventional MSE,5000,0.01607148041689245,3.378983243173631e-05
2000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,RBC MSE - Conventional MSE,5000,0.016656298626242814,4.367221956315203e-05
2000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,RBC MSE - Conventional MSE,5000,0.019663839259858297,4.728249470568722e-05
2000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,RBC MSE - Conventional MSE,4996,0.02648333631184298,7.965672821374203e-05
2000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,RBC MSE - Conventional MSE,4832,0.03148733851472519,4.400541251930496e-05
2000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,RBC MSE - Conventional MSE,4040,0.032431710065623134,4.7157638556134045e-05
2000,shrinking_delta,S_shrink_delta_0.0250,0.025,ci_length,RBC MSE - Conventional MSE,5000,0.01607148041689245,3.378983243173631e-05
3000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,RBC MSE - Conventional MSE,5000,0.0098960959010413,2.1986638492461416e-05
3000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,RBC MSE - Conventional MSE,5000,0.01059124053809179,2.242674902005503e-05
3000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,RBC MSE - Conventional MSE,5000,0.011421052503507716,2.3148299691975517e-05
3000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,RBC MSE - Conventional MSE,5000,0.01351683239025814,2.8657131055133465e-05
3000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,RBC MSE - Conventional MSE,5000,0.01373058451846181,3.382443306790369e-05
3000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,RBC MSE - Conventional MSE,4999,0.018636966697772792,5.161492042606312e-05
3000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,RBC MSE - Conventional MSE,4924,0.025278923694665126,4.953110598336212e-05
3000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,RBC MSE - Conventional MSE,3903,0.02734456596011332,3.564671940778883e-05
3000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,RBC MSE - Conventional MSE,1689,0.029425215639229785,0.00012058011519336804
3000,shrinking_delta,S_shrink_delta_0.0204,0.0204124145231931,ci_length,RBC MSE - Conventional MSE,5000,0.011508590701594852,2.2756891905652826e-05
4000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,RBC MSE - Conventional MSE,5000,0.008480046202564822,1.7317228832394216e-05
4000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,RBC MSE - Conventional MSE,5000,0.009158088278666189,1.7392537248958997e-05
4000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,RBC MSE - Conventional MSE,5000,0.010100909512824652,1.840999296234859e-05
4000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,RBC MSE - Conventional MSE,5000,0.011364882941174102,2.677003090344884e-05
4000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,RBC MSE - Conventional MSE,5000,0.013048644740316848,2.9240141738102918e-05
4000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,RBC MSE - Conventional MSE,4993,0.018574190833547426,5.479518867415477e-05
4000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,RBC MSE - Conventional MSE,4652,0.023343122402862373,3.0031392119551968e-05
4000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,RBC MSE - Conventional MSE,2255,0.024962927248682907,6.267842768908972e-05
4000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,RBC MSE - Conventional MSE,424,0.031264580413319504,0.00039711230771038314
4000,shrinking_delta,S_shrink_delta_0.0177,0.0176776695296636,ci_length,RBC MSE - Conventional MSE,5000,0.009641191278635148,1.9465591959623525e-05
5000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,RBC MSE - Conventional MSE,5000,0.0075370956462984095,1.448908777336883e-05
5000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,RBC MSE - Conventional MSE,5000,0.008291774712194985,1.4533832329324749e-05
5000,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,RBC MSE - Conventional MSE,5000,0.009406125398534465,1.6475472797949067e-05
5000,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,RBC MSE - Conventional MSE,5000,0.00976606577620997,2.231246578002178e-05
5000,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,RBC MSE - Conventional MSE,5000,0.01265042168102498,2.2692732212323036e-05
5000,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,RBC MSE - Conventional MSE,4962,0.01859070186587563,4.8640241082412485e-05
5000,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,RBC MSE - Conventional MSE,4014,0.02156215647381036,2.3501014605909287e-05
5000,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,RBC MSE - Conventional MSE,968,0.023943854467046864,0.00013217806846532843
5000,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,RBC MSE - Conventional MSE,114,0.03605252629981923,0.0006427285262762764
5000,shrinking_delta,S_shrink_delta_0.0158,0.0158113883008419,ci_length,RBC MSE - Conventional MSE,5000,0.008487859072020256,1.553407299686021e-05
500,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.17635151593266982,0.0013286202909622616
500,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.18746860704019405,0.0013123259847061777
500,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.19814128131294667,0.0013227060621949277
500,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.2192291529164724,0.0012955090990963223
500,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.22981250256559996,0.001306685816130466
500,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,5000,0.2446579700210073,0.0010200311975959479
500,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,5000,0.2835347575935539,0.0007934789980504364
500,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,5000,0.34303933380471646,0.0004716473716714266
500,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,4998,0.4251949416966206,0.0003173834775338798
500,fixed_delta_0.055,F_delta_0.055,0.055,ci_length,Bias-aware/Honest - RBC MSE,4991,0.5201446369971959,0.00020961844152681222
500,fixed_delta_0.06,F_delta_0.06,0.06,ci_length,Bias-aware/Honest - RBC MSE,4955,0.6282994834365815,0.0001719347154699756
500,fixed_delta_0.065,F_delta_0.065,0.065,ci_length,Bias-aware/Honest - RBC MSE,4865,0.7473710616757073,0.00015065699430636754
500,fixed_delta_0.07,F_delta_0.07,0.07,ci_length,Bias-aware/Honest - RBC MSE,4668,0.8760223912297357,0.00015872290983944128
500,fixed_delta_0.075,F_delta_0.075,0.075,ci_length,Bias-aware/Honest - RBC MSE,4285,1.0127122607625367,0.0002078195219485584
500,fixed_delta_0.08,F_delta_0.08,0.08,ci_length,Bias-aware/Honest - RBC MSE,3694,1.1577027105011903,0.00027528577954584937
500,fixed_delta_0.09,F_delta_0.09,0.09,ci_length,Bias-aware/Honest - RBC MSE,2636,1.4768351704191793,0.00038448833737806374
500,fixed_delta_0.1,F_delta_0.1,0.1,ci_length,Bias-aware/Honest - RBC MSE,2101,1.8406466921827345,0.00042507659138398397
500,fixed_delta_0.12,F_delta_0.12,0.12,ci_length,Bias-aware/Honest - RBC MSE,48,2.6641822118086957,0.0013401832241904134
500,shrinking_delta,S_shrink_delta_0.0500,0.05,ci_length,Bias-aware/Honest - RBC MSE,4998,0.4251949416966206,0.0003173834775338798
750,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.16503878249814843,0.0008285849179092269
750,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.17695241772211973,0.0008018945992702956
750,fixed_delta_0.02,F_delta_0.02,0.02,ci_length,Bias-aware/Honest - RBC MSE,5000,0.18706150422664672,0.0007749445248442035
750,fixed_delta_0.025,F_delta_0.025,0.025,ci_length,Bias-aware/Honest - RBC MSE,5000,0.20363477635788232,0.0008733243074220772
750,fixed_delta_0.03,F_delta_0.03,0.03,ci_length,Bias-aware/Honest - RBC MSE,5000,0.20443689933482043,0.0006864907795698941
750,fixed_delta_0.035,F_delta_0.035,0.035,ci_length,Bias-aware/Honest - RBC MSE,5000,0.23089242491205023,0.0004409920003877472
750,fixed_delta_0.04,F_delta_0.04,0.04,ci_length,Bias-aware/Honest - RBC MSE,5000,0.27756510565080506,0.0003001508794161341
750,fixed_delta_0.045,F_delta_0.045,0.045,ci_length,Bias-aware/Honest - RBC MSE,4998,0.3448902084257682,0.0001883947340666469
750,fixed_delta_0.05,F_delta_0.05,0.05,ci_length,Bias-aware/Honest - RBC MSE,4991,0.4307822850857961,0.00013087606650643863
750,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,ci_length,Bias-aware/Honest - RBC MSE,5000,0.2876672166666059,0.00027756446885518585
1000,fixed_delta_0.01,F_delta_0.01,0.01,ci_length,Bias-aware/Honest - RBC MSE,5000,0.15364101825676882,0.0006256499479267196
1000,fixed_delta_0.015,F_delta_0.015,0.015,ci_length,Bias-aware/Honest - RBC MSE,5000,0.16381156560725577,0.0006441489132282202
