n,regime,scenario,delta,variable,comparison,n_pairs,mean_diff,se_diff
500,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0756,0.0041737767168856165
500,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0866,0.004506012519930005
500,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.0926,0.0046053544769074604
500,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1004,0.004848573989736238
500,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.108,0.005027151723480223
500,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,5000,0.1364,0.0053483388959366775
500,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,5000,0.1522,0.005568952742386074
500,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,5000,0.141,0.005519954164555694
500,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,4998,0.1872749099639856,0.006058475359808282
500,fixed_delta_0.055,F_delta_0.055,0.055,covered,RBC MSE - Conventional MSE,4991,0.2821077940292527,0.006779837395053284
500,fixed_delta_0.06,F_delta_0.06,0.06,covered,RBC MSE - Conventional MSE,4955,0.425832492431887,0.007225341247336115
500,fixed_delta_0.065,F_delta_0.065,0.065,covered,RBC MSE - Conventional MSE,4865,0.5630010277492292,0.007229964152610693
500,fixed_delta_0.07,F_delta_0.07,0.07,covered,RBC MSE - Conventional MSE,4668,0.6921593830334191,0.006790775966164553
500,fixed_delta_0.075,F_delta_0.075,0.075,covered,RBC MSE - Conventional MSE,4285,0.7561260210035006,0.006569072164990462
500,fixed_delta_0.08,F_delta_0.08,0.08,covered,RBC MSE - Conventional MSE,3694,0.7517596101786681,0.007108632500011759
500,fixed_delta_0.09,F_delta_0.09,0.09,covered,RBC MSE - Conventional MSE,2636,0.5895295902883156,0.009583042670102451
500,fixed_delta_0.1,F_delta_0.1,0.1,covered,RBC MSE - Conventional MSE,2101,0.376011423131842,0.010570102328788111
500,fixed_delta_0.12,F_delta_0.12,0.12,covered,RBC MSE - Conventional MSE,48,0.0,0.0
500,shrinking_delta,S_shrink_delta_0.0500,0.05,covered,RBC MSE - Conventional MSE,4998,0.1872749099639856,0.006058475359808282
750,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0872,0.004454570758235638
750,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0844,0.004692518720941801
750,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.0894,0.004762989104862891
750,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1094,0.005111903198502704
750,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.1166,0.0051425846843243216
750,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,5000,0.1458,0.005645781342683568
750,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,5000,0.1332,0.005526088990588767
750,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,4998,0.16646658663465386,0.0058731999962814375
750,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,4991,0.28150671208174716,0.006722416638275309
750,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,covered,RBC MSE - Conventional MSE,5000,0.1314,0.005472914996572845
1000,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0728,0.004497118723734461
1000,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0902,0.004743130976295262
1000,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.0998,0.004904365663417859
1000,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1096,0.005099290985393042
1000,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.1328,0.005321512538662277
1000,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,5000,0.1496,0.005608052964408442
1000,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,4999,0.14222844568913784,0.0055581972497489385
1000,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,4993,0.2349289004606449,0.006513394959744747
1000,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,4966,0.37595650422875554,0.0071800097080114925
1000,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,covered,RBC MSE - Conventional MSE,5000,0.1474,0.005558851335090112
1500,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0806,0.004580930580678668
1500,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0856,0.004662496731918965
1500,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.093,0.0048739051068109685
1500,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1014,0.004922240718487683
1500,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.1488,0.005554987270616859
1500,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,5000,0.1274,0.005306550658947788
1500,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,4999,0.1964392878575715,0.0061763055114750645
1500,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,4961,0.3517436000806289,0.007050576048007667
1500,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,4733,0.5653919290090852,0.007267814056291494
1500,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,covered,RBC MSE - Conventional MSE,5000,0.142,0.0055039311997635235
2000,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0754,0.004384839034978653
2000,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0868,0.004683752716348461
2000,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.0988,0.005009264471567579
2000,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1156,0.005119821336150591
2000,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.152,0.0055664528273772235
2000,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,5000,0.145,0.005528210580508352
2000,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,4996,0.26701361088871095,0.006626549530462657
2000,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,4832,0.46978476821192056,0.0072871347617125375
2000,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,4040,0.7351485148514851,0.006960705238938256
2000,shrinking_delta,S_shrink_delta_0.0250,0.025,covered,RBC MSE - Conventional MSE,5000,0.1156,0.005119821336150591
3000,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.083,0.004457148554249335
3000,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.098,0.004733252659234157
3000,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.104,0.004972096574773038
3000,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1456,0.005550341364083076
3000,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.1198,0.005182177437390437
3000,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,4999,0.21344268853770754,0.006279643560939447
3000,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,4924,0.40840779853777415,0.0071915329215954055
3000,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,3903,0.7320010248526774,0.007090531302630981
3000,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,1689,0.7608052101835405,0.010383084195260883
3000,shrinking_delta,S_shrink_delta_0.0204,0.0204124145231931,covered,RBC MSE - Conventional MSE,5000,0.1044,0.004946212794067885
4000,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0818,0.0044165204777772875
4000,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0826,0.004547481051833351
4000,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.0978,0.004838565318652686
4000,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1482,0.005689800239494623
4000,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.1338,0.005380083741003669
4000,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,4993,0.2894051672341278,0.006789002116677882
4000,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,4652,0.5561049011177988,0.007329539236829596
4000,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,2255,0.8221729490022173,0.008053850229469677
4000,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,424,0.4740566037735849,0.024278084572827985
4000,shrinking_delta,S_shrink_delta_0.0177,0.0176776695296636,covered,RBC MSE - Conventional MSE,5000,0.0976,0.004851758022735907
5000,fixed_delta_0.01,F_delta_0.01,0.01,covered,RBC MSE - Conventional MSE,5000,0.0768,0.00434788831808791
5000,fixed_delta_0.015,F_delta_0.015,0.015,covered,RBC MSE - Conventional MSE,5000,0.0884,0.004643425489878782
5000,fixed_delta_0.02,F_delta_0.02,0.02,covered,RBC MSE - Conventional MSE,5000,0.1016,0.00486006296691807
5000,fixed_delta_0.025,F_delta_0.025,0.025,covered,RBC MSE - Conventional MSE,5000,0.1342,0.0054003615416892406
5000,fixed_delta_0.03,F_delta_0.03,0.03,covered,RBC MSE - Conventional MSE,5000,0.1762,0.0059260218989731555
5000,fixed_delta_0.035,F_delta_0.035,0.035,covered,RBC MSE - Conventional MSE,4962,0.3599355098750504,0.00716333662105108
5000,fixed_delta_0.04,F_delta_0.04,0.04,covered,RBC MSE - Conventional MSE,4014,0.7282012954658694,0.007031707492103672
5000,fixed_delta_0.045,F_delta_0.045,0.045,covered,RBC MSE - Conventional MSE,968,0.6890495867768595,0.014885299263602665
5000,fixed_delta_0.05,F_delta_0.05,0.05,covered,RBC MSE - Conventional MSE,114,0.32456140350877194,0.04404556157374767
5000,shrinking_delta,S_shrink_delta_0.0158,0.0158113883008419,covered,RBC MSE - Conventional MSE,5000,0.0962,0.004828433985771266
500,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.0506,0.003099975801517489
500,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.0586,0.0033219595245903583
500,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.0576,0.003295241982608377
500,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0676,0.003550854786377892
500,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.073,0.0036792536446236344
500,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,5000,0.068,0.003571799483497087
500,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,5000,0.0712,0.003637135927010469
500,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,5000,0.0706,0.00362294812971841
500,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,4998,0.07322929171668667,0.003685308862377547
500,fixed_delta_0.055,F_delta_0.055,0.055,covered,Bias-aware/Honest - RBC MSE,4991,0.07493488278902023,0.0037271587907393993
500,fixed_delta_0.06,F_delta_0.06,0.06,covered,Bias-aware/Honest - RBC MSE,4955,0.08133198789101917,0.0038835776210368374
500,fixed_delta_0.065,F_delta_0.065,0.065,covered,Bias-aware/Honest - RBC MSE,4865,0.09969167523124357,0.004295644144781091
500,fixed_delta_0.07,F_delta_0.07,0.07,covered,Bias-aware/Honest - RBC MSE,4668,0.12446443873179092,0.0048321525591644866
500,fixed_delta_0.075,F_delta_0.075,0.075,covered,Bias-aware/Honest - RBC MSE,4285,0.1722287047841307,0.005768769917130982
500,fixed_delta_0.08,F_delta_0.08,0.08,covered,Bias-aware/Honest - RBC MSE,3694,0.22766648619382782,0.0069002104862385
500,fixed_delta_0.09,F_delta_0.09,0.09,covered,Bias-aware/Honest - RBC MSE,2636,0.40933232169954475,0.0095789810241857
500,fixed_delta_0.1,F_delta_0.1,0.1,covered,Bias-aware/Honest - RBC MSE,2101,0.623988576868158,0.010570102328788111
500,fixed_delta_0.12,F_delta_0.12,0.12,covered,Bias-aware/Honest - RBC MSE,48,1.0,0.0
500,shrinking_delta,S_shrink_delta_0.0500,0.05,covered,Bias-aware/Honest - RBC MSE,4998,0.07322929171668667,0.003685308862377547
750,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.0586,0.0033219595245903588
750,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.0724,0.0036652878286668558
750,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.0716,0.003646552820060872
750,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0722,0.003660616344607077
750,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.0694,0.0035943444273431107
750,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,5000,0.0742,0.0037069691560714137
750,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,5000,0.0758,0.003743484304087168
750,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,4998,0.07482993197278912,0.003722149283400671
750,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,4991,0.07593668603486275,0.0037499580692086066
750,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,covered,Bias-aware/Honest - RBC MSE,5000,0.0756,0.0037389469031786147
1000,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.0692,0.0035895471817199943
1000,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.0686,0.0035751033933097056
1000,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.0696,0.0035991330555774606
1000,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0702,0.0036134475782388397
1000,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.0628,0.0034312660516700637
1000,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,5000,0.0682,0.0035654304731535255
1000,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,4999,0.06701340268053611,0.0035368807045742775
1000,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,4993,0.0666933707190066,0.0035311504416741476
1000,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,4966,0.0743052758759565,0.003722066201486566
1000,shrinking_delta,S_shrink_delta_0.0354,0.0353553390593273,covered,Bias-aware/Honest - RBC MSE,5000,0.0688,0.0035799266996734734
1500,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.061,0.003384980298070236
1500,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.0634,0.0034465147167448084
1500,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.0654,0.0034967146584587846
1500,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0642,0.003466709623709927
1500,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.0646,0.003476749280162638
1500,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,5000,0.0624,0.0034210508206899736
1500,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,4999,0.0610122024404881,0.0033856354986710755
1500,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,4961,0.06530941342471276,0.0035081728869317957
1500,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,4733,0.06951193746038453,0.003697113059228127
1500,shrinking_delta,S_shrink_delta_0.0289,0.0288675134594812,covered,Bias-aware/Honest - RBC MSE,5000,0.063,0.0034363587869054757
2000,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.0614,0.0033953370470002743
2000,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.0634,0.0034465147167448084
2000,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.0646,0.003476749280162638
2000,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0602,0.003364142608614894
2000,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.0626,0.003426163411039209
2000,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,5000,0.0586,0.0033219595245903583
2000,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,4996,0.06265012009607686,0.003428815142711501
2000,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,4832,0.06663907284768211,0.003588151423663668
2000,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,4040,0.09405940594059406,0.004593186178545781
2000,shrinking_delta,S_shrink_delta_0.0250,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0602,0.003364142608614894
3000,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.0526,0.0031573155889688424
3000,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.0564,0.003262811239933669
3000,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.0572,0.003284477060037348
3000,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.062,0.003410795611780492
3000,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.0588,0.003327270073983933
3000,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,4999,0.0624124824964993,0.0034217124589137077
3000,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,4924,0.05727051177904143,0.0033116479337779816
3000,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,3903,0.07660773763771458,0.004257805332088645
3000,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,1689,0.23623445825932504,0.010338688067921717
3000,shrinking_delta,S_shrink_delta_0.0204,0.0204124145231931,covered,Bias-aware/Honest - RBC MSE,5000,0.0554,0.003235469309440358
4000,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.054,0.0031966926296961603
4000,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.057,0.0032790776858888254
4000,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.056,0.0032519094364690726
4000,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0632,0.0034414416607202315
4000,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.058,0.003305962171165217
4000,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,4993,0.06048467854996996,0.003373939832617937
4000,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,4652,0.06126397248495271,0.003516423308934653
4000,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,2255,0.15033259423503326,0.007527904473433156
4000,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,424,0.5259433962264151,0.02427808457282799
4000,shrinking_delta,S_shrink_delta_0.0177,0.0176776695296636,covered,Bias-aware/Honest - RBC MSE,5000,0.0624,0.0034210508206899736
5000,fixed_delta_0.01,F_delta_0.01,0.01,covered,Bias-aware/Honest - RBC MSE,5000,0.0524,0.003151639980536067
5000,fixed_delta_0.015,F_delta_0.015,0.015,covered,Bias-aware/Honest - RBC MSE,5000,0.0552,0.0032299657174197907
5000,fixed_delta_0.02,F_delta_0.02,0.02,covered,Bias-aware/Honest - RBC MSE,5000,0.0552,0.0032299657174197907
5000,fixed_delta_0.025,F_delta_0.025,0.025,covered,Bias-aware/Honest - RBC MSE,5000,0.0606,0.0033745822794995274
5000,fixed_delta_0.03,F_delta_0.03,0.03,covered,Bias-aware/Honest - RBC MSE,5000,0.057,0.0032790776858888254
5000,fixed_delta_0.035,F_delta_0.035,0.035,covered,Bias-aware/Honest - RBC MSE,4962,0.06126561870213623,0.0034048278642481167
5000,fixed_delta_0.04,F_delta_0.04,0.04,covered,Bias-aware/Honest - RBC MSE,4014,0.06527154957648232,0.0038991515236813695
5000,fixed_delta_0.045,F_delta_0.045,0.045,covered,Bias-aware/Honest - RBC MSE,968,0.3109504132231405,0.014885299263602665
5000,fixed_delta_0.05,F_delta_0.05,0.05,covered,Bias-aware/Honest - RBC MSE,114,0.6754385964912281,0.04404556157374767
5000,shrinking_delta,S_shrink_delta_0.0158,0.0158113883008419,covered,Bias-aware/Honest - RBC MSE,5000,0.0574,0.0032898651404774178
500,fixed_delta_0.01,F_delta_0.01,0.01,estimate,RBC MSE - Conventional MSE,5000,-0.04224088276155257,0.00013221841038649229
500,fixed_delta_0.015,F_delta_0.015,0.015,estimate,RBC MSE - Conventional MSE,5000,-0.04346630292896566,0.00013109334634774924
500,fixed_delta_0.02,F_delta_0.02,0.02,estimate,RBC MSE - Conventional MSE,5000,-0.045599463802303265,0.00012340342717744138
500,fixed_delta_0.025,F_delta_0.025,0.025,estimate,RBC MSE - Conventional MSE,5000,-0.047432763790426664,0.00011782154860283887
500,fixed_delta_0.03,F_delta_0.03,0.03,estimate,RBC MSE - Conventional MSE,5000,-0.04977901746655069,0.00011494607121605083
500,fixed_delta_0.035,F_delta_0.035,0.035,estimate,RBC MSE - Conventional MSE,5000,-0.053966572190608894,0.0001152547743810405
500,fixed_delta_0.04,F_delta_0.04,0.04,estimate,RBC MSE - Conventional MSE,5000,-0.05685332827720388,0.00013049272126804584
500,fixed_delta_0.045,F_delta_0.045,0.045,estimate,RBC MSE - Conventional MSE,5000,-0.062080364127134954,0.00018902216795717964
500,fixed_delta_0.05,F_delta_0.05,0.05,estimate,RBC MSE - Conventional MSE,4998,-0.07212067142319452,0.00022789277052819043
500,fixed_delta_0.055,F_delta_0.055,0.055,estimate,RBC MSE - Conventional MSE,4991,-0.08451221990407116,0.0002513339323851246
500,fixed_delta_0.06,F_delta_0.06,0.06,estimate,RBC MSE - Conventional MSE,4955,-0.09679154673108484,0.0002535091779186983
500,fixed_delta_0.065,F_delta_0.065,0.065,estimate,RBC MSE - Conventional MSE,4865,-0.10905338050191123,0.0002594426624684996
500,fixed_delta_0.07,F_delta_0.07,0.07,estimate,RBC MSE - Conventional MSE,4668,-0.12095857717984017,0.0002624905703700221
500,fixed_delta_0.075,F_delta_0.075,0.075,estimate,RBC MSE - Conventional MSE,4285,-0.1329106918180494,0.0002758572330586707
500,fixed_delta_0.08,F_delta_0.08,0.08,estimate,RBC MSE - Conventional MSE,3694,-0.1445212233303283,0.0003056278014196293
500,fixed_delta_0.09,F_delta_0.09,0.09,estimate,RBC MSE - Conventional MSE,2636,-0.16806323279429658,0.0003855292151516718
500,fixed_delta_0.1,F_delta_0.1,0.1,estimate,RBC MSE - Conventional MSE,2101,-0.19337289675437017,0.00044388930338502467
500,fixed_delta_0.12,F_delta_0.12,0.12,estimate,RBC MSE - Conventional MSE,48,-0.21901940512627563,0.003073410354177538
500,shrinking_delta,S_shrink_delta_0.0500,0.05,estimate,RBC MSE - Conventional MSE,4998,-0.07212067142319452,0.00022789277052819043
750,fixed_delta_0.01,F_delta_0.01,0.01,estimate,RBC MSE - Conventional MSE,5000,-0.03528543356297927,8.84504659023347e-05
750,fixed_delta_0.015,F_delta_0.015,0.015,estimate,RBC MSE - Conventional MSE,5000,-0.03663979287010436,8.541046529239085e-05
750,fixed_delta_0.02,F_delta_0.02,0.02,estimate,RBC MSE - Conventional MSE,5000,-0.03855049686727674,7.697289059148287e-05
750,fixed_delta_0.025,F_delta_0.025,0.025,estimate,RBC MSE - Conventional MSE,5000,-0.04109727366770544,7.217792320942041e-05
750,fixed_delta_0.03,F_delta_0.03,0.03,estimate,RBC MSE - Conventional MSE,5000,-0.04480072174526859,8.39258802314904e-05
750,fixed_delta_0.035,F_delta_0.035,0.035,estimate,RBC MSE - Conventional MSE,5000,-0.04819071425188408,8.596938852843865e-05
750,fixed_delta_0.04,F_delta_0.04,0.04,estimate,RBC MSE - Conventional MSE,5000,-0.05121581537123525,0.00013371175220585837
750,fixed_delta_0.045,F_delta_0.045,0.045,estimate,RBC MSE - Conventional MSE,4998,-0.060721348526392105,0.0001933990174185144
750,fixed_delta_0.05,F_delta_0.05,0.05,estimate,RBC MSE - Conventional MSE,4991,-0.07264036542171726,0.00021592886258286746
750,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,estimate,RBC MSE - Conventional MSE,5000,-0.0523531546791334,0.0001444838679232571
1000,fixed_delta_0.01,F_delta_0.01,0.01,estimate,RBC MSE - Conventional MSE,5000,-0.0313562328081641,6.771920114673968e-05
1000,fixed_delta_0.015,F_delta_0.015,0.015,estimate,RBC MSE - Conventional MSE,5000,-0.03294343933650462,6.470344988903768e-05
1000,fixed_delta_0.02,F_delta_0.02,0.02,estimate,RBC MSE - Conventional MSE,5000,-0.035066625650812776,5.975315583708315e-05
1000,fixed_delta_0.025,F_delta_0.025,0.025,estimate,RBC MSE - Conventional MSE,5000,-0.03749212406971907,5.944508648659218e-05
1000,fixed_delta_0.03,F_delta_0.03,0.03,estimate,RBC MSE - Conventional MSE,5000,-0.04207429021451361,6.900812011463954e-05
