scenario,scenario_label,rep,u_mean,u_sd,u_skew,u_excess_kurtosis,u_q01,u_q05,u_q50,u_q95,u_q99,contam_share
N3,N3 One-sided contamination,9,0.022137789953780754,1.0240583141657706,3.9115224885834183,20.50726259383488,-1.5224456117865042,-0.9758119477507938,-0.09432288214353557,0.9904373206521258,5.549535473084191,0.022
N0,N0 Normal,10,0.08872561946321184,0.990819974952858,0.04349441924289195,-0.2342255548580714,-2.105638493342486,-1.5129151103736207,0.0798589079580446,1.7646780865396252,2.3111487704958376,
N1,N1 Severe skewness,10,-0.06926149148728743,0.9810458937614266,3.3077027740179448,15.984921917101605,-0.7070504841722116,-0.7057204472165847,-0.4590635096430626,1.760708218785801,3.6700132557158054,
N2,N2 Extreme t3 tails,10,0.07832996477388059,0.9626082746769942,0.9499209798574141,5.067645313748397,-2.2869169768887603,-1.277355648562013,0.034475153929752436,1.5110226253906451,3.54825419632494,
N3,N3 One-sided contamination,10,0.0030582302617807233,0.9495344661375473,3.3782787138611154,17.655658997535493,-1.4217578103714548,-1.0971325742881748,-0.07046808709133896,0.9506854707278196,5.235428807670693,0.02
N0,N0 Normal,11,-0.01836102062573062,0.9798268754687791,0.09639958710710042,-0.1814581666778703,-2.1580376075513827,-1.593215587279379,0.013482321287975534,1.5454222538991818,2.5368611857781427,
N1,N1 Severe skewness,11,0.05990669049078792,1.1757676737076133,3.9229363683855456,25.408940537069117,-0.7069976170912335,-0.7054275312450333,-0.3641730541687494,2.1819923016635294,4.366239669034565,
N2,N2 Extreme t3 tails,11,-0.07487149895075906,1.8408449446572759,-13.961829944541238,261.7951708796869,-3.1502069041270135,-1.4474843441624694,0.04490179774393295,1.3695579293867586,2.3883205737169155,
N3,N3 One-sided contamination,11,0.0072652276725188045,0.994083120883553,3.461338991678767,19.368433716556684,-1.633418922992528,-1.0666837062353678,-0.0765709650241671,1.0067497874218294,5.5504611876235606,0.018
N0,N0 Normal,12,0.025798218448317593,1.0138942063636995,0.1778733825710038,0.20439781464165874,-2.2133178024176754,-1.4456358714949837,0.006623186140082286,1.8253885250380701,2.5992818312306643,
