scenario,method,reps_success,fail_rate,EC_percent,coverage_error_pp,coverage_mcse,IL,avg_estimate,bias,abs_bias,median_bias,trimmed_bias_1pct,RMSE,avg_se,sd_estimate,se_to_sd_ratio,miss_below_true,miss_above_true,avg_h_left,avg_h_right,avg_b_left,avg_b_right,t_mean,t_sd,t_skew,t_excess_kurtosis,t_q025,t_q975,scenario_label,method_label,reps_total,EC,coverage_error,avg_N_h_left,avg_N_h_right,avg_N_b_left,avg_N_b_right
N0,conventional_mserd,5000,0.0,85.24000000000001,-9.759999999999991,0.0050162583665517065,0.31546213520792726,-3.3999648982414277,0.050035101758572204,0.050035101758572204,0.05104524929071652,0.050417240596950345,0.09782726427445401,0.08047651326663459,0.08407184928739056,0.9572349597251548,0.009,0.1386,0.10010273783256857,0.10010273783256857,0.22214623249786505,0.22214623249786505,0.7072454719444334,1.1556345594420039,0.19091303890798603,0.41822711287300773,-1.4723265558876313,3.065166937681567,N0 Normal,Conventional MSE,5000,0.8524,-0.09759999999999991,34.385,28.007,84.5508,53.9264
N0,rbc_mserd,5000,0.0,93.0,-1.9999999999999907,0.003608323710533742,0.34439327020381544,-3.4389120018138253,0.011087998186175195,0.011087998186175195,0.01284174761351986,0.011579420360116685,0.08618749884065074,0.08785704046613756,0.08547983746564554,1.027810102019057,0.0202,0.0498,0.10010273783256857,0.10010273783256857,0.22214623249786505,0.22214623249786505,0.18052464196237816,1.0500301070268587,0.07935407958816029,0.4169593810228225,-1.8710018731070024,2.298832068599463,N0 Normal,RBC MSE,5000,0.93,-0.019999999999999907,34.385,28.007,84.5508,53.9264
N1,conventional_mserd,5000,0.0,86.14,-8.85999999999999,0.0048865128670658375,0.3025053590749041,-3.4019560794102652,0.04804392058973541,0.04804392058973541,0.04698284053217039,0.0479192095110973,0.09676311885259174,0.0771711524959203,0.0840017507155217,0.9186850492826781,0.0052,0.1334,0.09857359554423069,0.09857359554423069,0.22034214920294334,0.22034214920294334,0.7241292261721798,1.118926064739727,0.23367452468396432,0.18080659434026103,-1.3117007344975313,3.030685158581483,N1 Severe skewness,Conventional MSE,5000,0.8614,-0.0885999999999999,33.8388,27.6,83.8406,53.5456
N1,rbc_mserd,5000,0.0,94.69999999999999,-0.30000000000000027,0.0031683118533376744,0.32989725982089313,-3.4400675117785022,0.009932488221497685,0.009932488221497685,0.010673611205232136,0.010032360723566908,0.08471799450215435,0.08415901068159432,0.08414214312844018,1.0002004649813636,0.0128,0.0402,0.09857359554423069,0.09857359554423069,0.22034214920294334,0.22034214920294334,0.16952016177524976,1.006019478313937,0.15776786729553074,0.15838260758574085,-1.699575399990867,2.2120679654458755,N1 Severe skewness,RBC MSE,5000,0.947,-0.0030000000000000027,33.8388,27.6,83.8406,53.5456
N2,conventional_mserd,5000,0.0,87.26,-7.739999999999991,0.0047152781466208325,0.2985133691601617,-3.4048403900928563,0.045159609907143454,0.045159609907143454,0.04484062903118735,0.04502348020346118,0.09199288095464024,0.07615276900871577,0.08015350707429154,0.9500865500262188,0.0048,0.1226,0.09698019563203306,0.09698019563203306,0.21764766296444688,0.21764766296444688,0.6844573136427634,1.1073265915224633,0.22760015272766,0.32569321758383873,-1.3814553564376935,2.9642700931457995,N2 Extreme t3 tails,Conventional MSE,5000,0.8726,-0.07739999999999991,33.2558,27.1802,82.7452,53.0806
N2,rbc_mserd,5000,0.0,94.74000000000001,-0.25999999999999357,0.0031569998416217885,0.325534720264777,-3.442200317906996,0.007799682093004503,0.007799682093004503,0.00929086413418867,0.008034681299479558,0.08186792102943838,0.08304609748764605,0.08150368103917154,1.0189245004496572,0.017,0.0356,0.09698019563203306,0.09698019563203306,0.21764766296444688,0.21764766296444688,0.1434822599016416,1.0022673047842106,0.12070002630884447,0.28056463107597596,-1.7780774117395157,2.1382270527175495,N2 Extreme t3 tails,RBC MSE,5000,0.9474,-0.0025999999999999357,33.2558,27.1802,82.7452,53.0806
N3,conventional_mserd,5000,0.0,87.42,-7.579999999999998,0.004689869081328391,0.2929182947969116,-3.4065347117280282,0.0434652882719718,0.0434652882719718,0.03982084635611005,0.04326088304571165,0.09239743574443474,0.07472542789240356,0.0815437595682603,0.9163843841397931,0.0042,0.1216,0.09646492694872079,0.09646492694872079,0.21749429521679664,0.21749429521679664,0.7010085436726147,1.0884332783891586,0.2476730025397968,0.12448609984221459,-1.2176766618272004,2.9309741051407356,N3 One-sided contamination,Conventional MSE,5000,0.8742,-0.07579999999999998,33.0776,27.0626,82.6382,52.9828
N3,rbc_mserd,5000,0.0,95.88,0.880000000000003,0.0028107849437479207,0.31923304150030474,-3.443760430382574,0.006239569617426079,0.006239569617426079,0.006152408715377922,0.006379795552528473,0.08191230842051105,0.08143849683422101,0.08168248556120038,0.9970129615265373,0.0098,0.0314,0.09646492694872079,0.09646492694872079,0.21749429521679664,0.21749429521679664,0.13680749161076275,0.9748614387944528,0.15021002651158166,0.1095925285854027,-1.623400052775389,2.0370391090748017,N3 One-sided contamination,RBC MSE,5000,0.9588,0.00880000000000003,33.0776,27.0626,82.6382,52.9828
