method,method_label,bandwidth_type,reps_total,reps_success,fail_rate,EC,EC_percent,coverage_error,coverage_error_pp,coverage_mcse,IL,avg_estimate,bias,abs_bias,rmse,sd_estimate,avg_se,se_to_sd_ratio,miss_below_true,miss_above_true,avg_h_left,avg_h_right,avg_b_left,avg_b_right,avg_N_h_left,avg_N_h_right,avg_N_b_left,avg_N_b_right
conventional_mserd,Conventional MSE,data-driven mserd,5000,5000,0.0,0.8524,85.24000000000001,-0.09759999999999991,-9.759999999999991,0.0050162583665517065,0.31546213520792726,-3.3999648982414277,0.05003510175857251,0.05003510175857251,0.09782726427445401,0.08407184928739056,0.08047651326663459,0.9572349597251548,0.009,0.1386,0.10010273783256857,0.10010273783256857,0.22214623249786505,0.22214623249786505,34.385,28.007,84.5508,53.9264
undersmoothing_mserd,Undersmoothing,ad hoc h = us_scale * h_mserd,5000,5000,0.0,0.915,91.5,-0.03499999999999992,-3.499999999999992,0.003943982758583003,0.4847183514370045,-3.431950767543469,0.01804923245653134,0.01804923245653134,0.11988429231655481,0.11852965286244956,0.12365491286074666,1.043240318979461,0.019,0.066,0.05005136891628428,0.05005136891628428,0.11107311624893253,0.11107311624893253,16.3492,14.748,38.5252,30.7012
bias_corrected_mserd,Bias-corrected MSE,data-driven mserd,5000,5000,0.0,0.9048,90.48,-0.04519999999999991,-4.519999999999991,0.004150589355742145,0.31546213520792726,-3.4389120018138253,0.011087998186174897,0.011087998186174897,0.08618749884065074,0.08547983746564554,0.08047651326663459,0.941467785300577,0.0278,0.0674,0.10010273783256857,0.10010273783256857,0.22214623249786505,0.22214623249786505,34.385,28.007,84.5508,53.9264
rbc_mserd,RBC-MSE,data-driven mserd,5000,5000,0.0,0.93,93.0,-0.019999999999999907,-1.9999999999999907,0.003608323710533742,0.34439327020381544,-3.4389120018138253,0.011087998186174897,0.011087998186174897,0.08618749884065074,0.08547983746564554,0.08785704046613756,1.027810102019057,0.0202,0.0498,0.10010273783256857,0.10010273783256857,0.22214623249786505,0.22214623249786505,34.385,28.007,84.5508,53.9264
rbc_cerrd,RBC-CER,data-driven cerrd,5000,5000,0.0,0.9274,92.74,-0.022599999999999953,-2.2599999999999953,0.003669584172627738,0.3960273702381754,-3.44092737653474,0.009072623465260055,0.009072623465260055,0.09687083425733994,0.09645468746783413,0.10102924680299964,1.047427029782156,0.0226,0.05,0.07336644158808865,0.07336644158808865,0.22214623249786505,0.22214623249786505,24.5696,21.081,84.5508,53.9264
