scenario,scenario_label,variance_structure,gamma,spec_id,paper_label,rd_row,bwselect,vce,reps_total,reps_success,failure_rate,empirical_coverage,coverage_error_vs_0.95,mcse_coverage,avg_interval_length,avg_center_bias,avg_estimate,sd_estimate,avg_se,se_to_empirical_sd_ratio,avg_h_l,avg_h_r,avg_b_l,avg_b_r,avg_N_h_l,avg_N_h_r,avg_N_b_l,avg_N_b_r
H0,Homoskedastic baseline,v(x)=1,1.0,conv_nn_mserd,Conventional + robust SE (nn),conventional,mserd,nn,5000,5000,0.0,0.8524,-0.09759999999999991,0.0050162583665517065,0.31546213520792726,0.050035101758572204,-3.3999648982414277,0.08407184928739056,0.08047651326663459,0.9572349597251548,0.10010273783256857,0.10010273783256857,0.22214623249786505,0.22214623249786505,34.385,28.007,84.5508,53.9264
H0,Homoskedastic baseline,v(x)=1,1.0,rbc_nn_mserd,RBC + robust SE (nn),rbc,mserd,nn,5000,5000,0.0,0.93,-0.019999999999999907,0.003608323710533742,0.34439327020381544,0.011087998186175195,-3.4389120018138253,0.08547983746564554,0.08785704046613756,1.027810102019057,0.10010273783256857,0.10010273783256857,0.22214623249786505,0.22214623249786505,34.385,28.007,84.5508,53.9264
H1,Smooth heteroskedasticity,v(x)=1+gamma*x^2,1.0,conv_nn_mserd,Conventional + robust SE (nn),conventional,mserd,nn,5000,5000,0.0,0.8554,-0.0945999999999999,0.004973747882633376,0.2956011222688415,0.046981732373805866,-3.4030182676261944,0.07706377854585264,0.07540983523179644,0.9785379935260751,0.09613240141340332,0.09613240141340332,0.21640459867148348,0.21640459867148348,32.874,26.9842,82.003,52.9014
H1,Smooth heteroskedasticity,v(x)=1+gamma*x^2,1.0,rbc_nn_mserd,RBC + robust SE (nn),rbc,mserd,nn,5000,5000,0.0,0.9326,-0.01739999999999997,0.0035456237815086927,0.32181570807303594,0.010532519574109115,-3.439467480425891,0.07822099510980585,0.08209735245429949,1.0495564821062688,0.09613240141340332,0.09613240141340332,0.21640459867148348,0.21640459867148348,32.874,26.9842,82.003,52.9014
H2,Side-specific heteroskedasticity,v(x)=1+gamma*1{x>=0},1.0,conv_nn_mserd,Conventional + robust SE (nn),conventional,mserd,nn,5000,5000,0.0,0.8452,-0.1048,0.005115407315160739,0.339119998317335,0.05438273826293175,-3.3956172617370686,0.09293952105930778,0.08651179332688516,0.9308396723034448,0.10552818866682523,0.10552818866682523,0.23047637392324094,0.23047637392324094,36.453,29.3562,88.3662,55.3014
H2,Side-specific heteroskedasticity,v(x)=1+gamma*1{x>=0},1.0,rbc_nn_mserd,RBC + robust SE (nn),rbc,mserd,nn,5000,5000,0.0,0.9248,-0.0252,0.003729476102618169,0.37181215636927,0.0118517819747795,-3.4381482180252205,0.09484005442954895,0.09485178281388762,1.0001236648840959,0.10552818866682523,0.10552818866682523,0.23047637392324094,0.23047637392324094,36.453,29.3562,88.3662,55.3014
H3,Near-cutoff volatility,v(x)=1+gamma*exp(-|x|/0.10),1.0,conv_nn_mserd,Conventional + robust SE (nn),conventional,mserd,nn,5000,5000,0.0,0.8496,-0.10039999999999993,0.005055291089541728,0.3751854276281872,0.05650322684035011,-3.3934967731596504,0.10424531301362382,0.09571232700896598,0.9181451351818315,0.10894191112806348,0.10894191112806348,0.23302827475054638,0.23302827475054638,37.7584,30.211,89.474,55.7858
H3,Near-cutoff volatility,v(x)=1+gamma*exp(-|x|/0.10),1.0,rbc_nn_mserd,RBC + robust SE (nn),rbc,mserd,nn,5000,5000,0.0,0.9224,-0.027599999999999958,0.003783602516121375,0.4118349595894077,0.0114487044990733,-3.4385512955009268,0.10632454954076788,0.10506186920726843,0.9881242823134153,0.10894191112806348,0.10894191112806348,0.23302827475054638,0.23302827475054638,37.7584,30.211,89.474,55.7858
