scenario,scenario_label,variance_structure,conv_nn_bias,rbc_nn_bias,conv_nn_il,rbc_nn_il,conv_nn_mserd_avg_se,rbc_nn_mserd_avg_se,conv_nn_mserd_coverage_error_vs_0.95,rbc_nn_mserd_coverage_error_vs_0.95,conv_nn_ec,rbc_nn_ec,conv_nn_mserd_failure_rate,rbc_nn_mserd_failure_rate,conv_nn_mserd_sd_estimate,rbc_nn_mserd_sd_estimate,conv_nn_se_ratio,rbc_nn_se_ratio,rbc_minus_conv_ec,interpretation
H0,Homoskedastic baseline,v(x)=1,0.050035101758572204,0.011087998186175195,0.31546213520792726,0.34439327020381544,0.08047651326663459,0.08785704046613756,-0.09759999999999991,-0.019999999999999907,0.8524,0.93,0.0,0.0,0.08407184928739056,0.08547983746564554,0.9572349597251548,1.027810102019057,0.0776,Baseline comparison
H1,Smooth heteroskedasticity,v(x)=1+gamma*x^2,0.046981732373805866,0.010532519574109115,0.2956011222688415,0.32181570807303594,0.07540983523179644,0.08209735245429949,-0.0945999999999999,-0.01739999999999997,0.8554,0.9326,0.0,0.0,0.07706377854585264,0.07822099510980585,0.9785379935260751,1.0495564821062688,0.07719999999999994,"RBC improves coverage, not fully restored"
H2,Side-specific heteroskedasticity,v(x)=1+gamma*1{x>=0},0.05438273826293175,0.0118517819747795,0.339119998317335,0.37181215636927,0.08651179332688516,0.09485178281388762,-0.1048,-0.0252,0.8452,0.9248,0.0,0.0,0.09293952105930778,0.09484005442954895,0.9308396723034448,1.0001236648840959,0.0796,"RBC helps, but heteroskedasticity remains severe"
H3,Near-cutoff volatility,v(x)=1+gamma*exp(-|x|/0.10),0.05650322684035011,0.0114487044990733,0.3751854276281872,0.4118349595894077,0.09571232700896598,0.10506186920726843,-0.10039999999999993,-0.027599999999999958,0.8496,0.9224,0.0,0.0,0.10424531301362382,0.10632454954076788,0.9181451351818315,0.9881242823134153,0.07279999999999998,"RBC helps, but heteroskedasticity remains severe"
