n,regime,method,frontier_failure_reason,count,share_within_scenario_method
3000,fixed_delta_0.05,Conventional MSE,insufficient_unique_h,733,0.1466
3000,fixed_delta_0.05,Conventional MSE,nan_ci,697,0.1394
3000,fixed_delta_0.05,RBC MSE,raw_failure,1881,0.3762
3000,fixed_delta_0.05,RBC MSE,ok,1689,0.3378
3000,fixed_delta_0.05,RBC MSE,nan_ci,735,0.147
3000,fixed_delta_0.05,RBC MSE,insufficient_unique_h,695,0.139
3000,shrinking_delta,Bias-aware/Honest,ok,5000,1.0
3000,shrinking_delta,Conventional MSE,ok,5000,1.0
3000,shrinking_delta,RBC MSE,ok,5000,1.0
4000,continuous,Bias-aware/Honest,ok,5000,1.0
4000,continuous,Conventional MSE,ok,5000,1.0
4000,continuous,RBC MSE,ok,5000,1.0
4000,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
4000,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
4000,fixed_delta_0.01,RBC MSE,ok,5000,1.0
4000,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
4000,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
4000,fixed_delta_0.015,RBC MSE,ok,5000,1.0
4000,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
4000,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
4000,fixed_delta_0.02,RBC MSE,ok,5000,1.0
4000,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
4000,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
4000,fixed_delta_0.025,RBC MSE,ok,5000,1.0
4000,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
4000,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
4000,fixed_delta_0.03,RBC MSE,ok,5000,1.0
4000,fixed_delta_0.035,Bias-aware/Honest,ok,4993,0.9986
4000,fixed_delta_0.035,Bias-aware/Honest,raw_failure,4,0.0008
4000,fixed_delta_0.035,Bias-aware/Honest,nan_ci,3,0.0006
4000,fixed_delta_0.035,Conventional MSE,ok,4993,0.9986
4000,fixed_delta_0.035,Conventional MSE,raw_failure,4,0.0008
4000,fixed_delta_0.035,Conventional MSE,insufficient_unique_h,2,0.0004
4000,fixed_delta_0.035,Conventional MSE,nan_ci,1,0.0002
4000,fixed_delta_0.035,RBC MSE,ok,4993,0.9986
4000,fixed_delta_0.035,RBC MSE,raw_failure,4,0.0008
4000,fixed_delta_0.035,RBC MSE,insufficient_unique_h,2,0.0004
4000,fixed_delta_0.035,RBC MSE,nan_ci,1,0.0002
4000,fixed_delta_0.04,Bias-aware/Honest,ok,4652,0.9304
4000,fixed_delta_0.04,Bias-aware/Honest,raw_failure,195,0.039
4000,fixed_delta_0.04,Bias-aware/Honest,nan_ci,153,0.0306
4000,fixed_delta_0.04,Conventional MSE,ok,4652,0.9304
4000,fixed_delta_0.04,Conventional MSE,raw_failure,195,0.039
4000,fixed_delta_0.04,Conventional MSE,nan_ci,88,0.0176
4000,fixed_delta_0.04,Conventional MSE,insufficient_unique_h,65,0.013
4000,fixed_delta_0.04,RBC MSE,ok,4652,0.9304
4000,fixed_delta_0.04,RBC MSE,raw_failure,195,0.039
4000,fixed_delta_0.04,RBC MSE,insufficient_unique_h,86,0.0172
4000,fixed_delta_0.04,RBC MSE,nan_ci,67,0.0134
4000,fixed_delta_0.045,Bias-aware/Honest,ok,2255,0.451
4000,fixed_delta_0.045,Bias-aware/Honest,raw_failure,1783,0.3566
4000,fixed_delta_0.045,Bias-aware/Honest,nan_ci,962,0.1924
4000,fixed_delta_0.045,Conventional MSE,ok,2255,0.451
4000,fixed_delta_0.045,Conventional MSE,raw_failure,1783,0.3566
4000,fixed_delta_0.045,Conventional MSE,nan_ci,496,0.0992
4000,fixed_delta_0.045,Conventional MSE,insufficient_unique_h,466,0.0932
4000,fixed_delta_0.045,RBC MSE,ok,2255,0.451
4000,fixed_delta_0.045,RBC MSE,raw_failure,1783,0.3566
4000,fixed_delta_0.045,RBC MSE,insufficient_unique_h,489,0.0978
4000,fixed_delta_0.045,RBC MSE,nan_ci,473,0.0946
4000,fixed_delta_0.05,Bias-aware/Honest,raw_failure,2701,0.5402
4000,fixed_delta_0.05,Bias-aware/Honest,nan_ci,1875,0.375
4000,fixed_delta_0.05,Bias-aware/Honest,ok,424,0.0848
4000,fixed_delta_0.05,Conventional MSE,raw_failure,2701,0.5402
4000,fixed_delta_0.05,Conventional MSE,insufficient_unique_h,990,0.198
4000,fixed_delta_0.05,Conventional MSE,nan_ci,885,0.177
4000,fixed_delta_0.05,Conventional MSE,ok,424,0.0848
4000,fixed_delta_0.05,RBC MSE,raw_failure,2701,0.5402
4000,fixed_delta_0.05,RBC MSE,insufficient_unique_h,975,0.195
4000,fixed_delta_0.05,RBC MSE,nan_ci,900,0.18
4000,fixed_delta_0.05,RBC MSE,ok,424,0.0848
4000,shrinking_delta,Bias-aware/Honest,ok,5000,1.0
4000,shrinking_delta,Conventional MSE,ok,5000,1.0
4000,shrinking_delta,RBC MSE,ok,5000,1.0
5000,continuous,Bias-aware/Honest,ok,5000,1.0
5000,continuous,Conventional MSE,ok,5000,1.0
5000,continuous,RBC MSE,ok,5000,1.0
5000,fixed_delta_0.01,Bias-aware/Honest,ok,5000,1.0
5000,fixed_delta_0.01,Conventional MSE,ok,5000,1.0
5000,fixed_delta_0.01,RBC MSE,ok,5000,1.0
5000,fixed_delta_0.015,Bias-aware/Honest,ok,5000,1.0
5000,fixed_delta_0.015,Conventional MSE,ok,5000,1.0
5000,fixed_delta_0.015,RBC MSE,ok,5000,1.0
5000,fixed_delta_0.02,Bias-aware/Honest,ok,5000,1.0
5000,fixed_delta_0.02,Conventional MSE,ok,5000,1.0
5000,fixed_delta_0.02,RBC MSE,ok,5000,1.0
5000,fixed_delta_0.025,Bias-aware/Honest,ok,5000,1.0
5000,fixed_delta_0.025,Conventional MSE,ok,5000,1.0
5000,fixed_delta_0.025,RBC MSE,ok,5000,1.0
5000,fixed_delta_0.03,Bias-aware/Honest,ok,5000,1.0
5000,fixed_delta_0.03,Conventional MSE,ok,5000,1.0
5000,fixed_delta_0.03,RBC MSE,ok,5000,1.0
5000,fixed_delta_0.035,Bias-aware/Honest,ok,4962,0.9924
5000,fixed_delta_0.035,Bias-aware/Honest,raw_failure,22,0.0044
5000,fixed_delta_0.035,Bias-aware/Honest,nan_ci,16,0.0032
5000,fixed_delta_0.035,Conventional MSE,ok,4962,0.9924
5000,fixed_delta_0.035,Conventional MSE,raw_failure,22,0.0044
5000,fixed_delta_0.035,Conventional MSE,nan_ci,10,0.002
5000,fixed_delta_0.035,Conventional MSE,insufficient_unique_h,6,0.0012
5000,fixed_delta_0.035,RBC MSE,ok,4962,0.9924
5000,fixed_delta_0.035,RBC MSE,raw_failure,22,0.0044
5000,fixed_delta_0.035,RBC MSE,insufficient_unique_h,9,0.0018
5000,fixed_delta_0.035,RBC MSE,nan_ci,7,0.0014
5000,fixed_delta_0.04,Bias-aware/Honest,ok,4014,0.8028
5000,fixed_delta_0.04,Bias-aware/Honest,raw_failure,586,0.1172
5000,fixed_delta_0.04,Bias-aware/Honest,nan_ci,400,0.08
5000,fixed_delta_0.04,Conventional MSE,ok,4014,0.8028
5000,fixed_delta_0.04,Conventional MSE,raw_failure,586,0.1172
5000,fixed_delta_0.04,Conventional MSE,nan_ci,213,0.0426
5000,fixed_delta_0.04,Conventional MSE,insufficient_unique_h,187,0.0374
5000,fixed_delta_0.04,RBC MSE,ok,4014,0.8028
5000,fixed_delta_0.04,RBC MSE,raw_failure,586,0.1172
5000,fixed_delta_0.04,RBC MSE,insufficient_unique_h,207,0.0414
5000,fixed_delta_0.04,RBC MSE,nan_ci,193,0.0386
5000,fixed_delta_0.045,Bias-aware/Honest,raw_failure,2651,0.5302
5000,fixed_delta_0.045,Bias-aware/Honest,nan_ci,1381,0.2762
5000,fixed_delta_0.045,Bias-aware/Honest,ok,968,0.1936
5000,fixed_delta_0.045,Conventional MSE,raw_failure,2651,0.5302
5000,fixed_delta_0.045,Conventional MSE,ok,968,0.1936
5000,fixed_delta_0.045,Conventional MSE,insufficient_unique_h,710,0.142
5000,fixed_delta_0.045,Conventional MSE,nan_ci,671,0.1342
5000,fixed_delta_0.045,RBC MSE,raw_failure,2651,0.5302
5000,fixed_delta_0.045,RBC MSE,ok,968,0.1936
5000,fixed_delta_0.045,RBC MSE,nan_ci,709,0.1418
5000,fixed_delta_0.045,RBC MSE,insufficient_unique_h,672,0.1344
5000,fixed_delta_0.05,Bias-aware/Honest,raw_failure,3123,0.6246
5000,fixed_delta_0.05,Bias-aware/Honest,nan_ci,1763,0.3526
5000,fixed_delta_0.05,Bias-aware/Honest,ok,114,0.0228
5000,fixed_delta_0.05,Conventional MSE,raw_failure,3123,0.6246
5000,fixed_delta_0.05,Conventional MSE,nan_ci,908,0.1816
5000,fixed_delta_0.05,Conventional MSE,insufficient_unique_h,855,0.171
5000,fixed_delta_0.05,Conventional MSE,ok,114,0.0228
5000,fixed_delta_0.05,RBC MSE,raw_failure,3123,0.6246
5000,fixed_delta_0.05,RBC MSE,nan_ci,885,0.177
5000,fixed_delta_0.05,RBC MSE,insufficient_unique_h,878,0.1756
5000,fixed_delta_0.05,RBC MSE,ok,114,0.0228
5000,shrinking_delta,Bias-aware/Honest,ok,5000,1.0
5000,shrinking_delta,Conventional MSE,ok,5000,1.0
5000,shrinking_delta,RBC MSE,ok,5000,1.0
