n,regime,scenario,delta,in_general,in_frontier,design_scope,method,n_total,n_raw_success,raw_success_rate,raw_failure_rate,n_minimal_usable,minimal_usability_rate,n_nonusable,nonusable_rate,n_support_adequate,support_adequacy_rate,n_rbc_support_adequate,rbc_support_adequacy_rate,n_formal_support_ok,formal_support_ok_rate,n_frontier_display_ok,frontier_display_ok_rate,coverage_conditional_on_raw_success,coverage_conditional_on_minimal_usable,coverage_unconditional,coverage,coverage_mc_se,bias,abs_bias_over_avg_se,sd,rmse,avg_length,median_length,p90_length,p95_length,p99_length,trimmed_mean_length,pathological_length_rate,avg_estimate,avg_se,miss_below_rate,miss_above_rate,avg_h_left,avg_h_right,avg_b_left,avg_b_right,avg_local_support_score,avg_min_unique_h,avg_min_unique_b,avg_unique_h_left,avg_unique_h_right,avg_unique_b_left,avg_unique_b_right,avg_h_over_delta_left,avg_h_over_delta_right,avg_b_over_delta_left,avg_b_over_delta_right,avg_nearest_support_distance,avg_mass_share_h_left,avg_mass_share_h_right,avg_mass_share_b_left,avg_mass_share_b_right,avg_bias_bound,delta_plot,delta_label_plot,coverage_display_ok,min_display_usable
500,continuous,C0_continuous,,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4627,0.9254,0.9374,0.9374,0.9374,0.9374,0.0034258207775655744,0.00913716690512382,0.10398897504238734,0.08417822496989946,0.08466430288748189,0.34443109084351003,0.3243965570240448,0.469743615008397,0.5424605583261293,0.722873962542222,0.3409496373225786,0.0,-3.4408628330948763,0.08786668876579834,0.0446,0.018,0.09988388405629504,0.09988388405629504,0.22177299115517093,0.22177299115517093,26.9852,26.9852,53.7648,34.3498,27.9388,84.249,53.7952,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0,True,30
500,fixed_delta_0.01,F_delta_0.01,0.01,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4721,0.9442,0.9468,0.9468,0.9468,0.9468,0.003173948959892078,0.010254837545793498,0.1129154368157973,0.08336333372100313,0.08398343415869663,0.35600291375310766,0.3314014878806715,0.4923929363389141,0.5672107143456546,0.7821477987526784,0.3517776518416272,0.0,-3.439745162454207,0.09081873865061121,0.0388,0.0144,0.10331710291408461,0.10331710291408461,0.22636151951011566,0.22636151951011566,9.4814,9.4814,20.3476,9.9962,9.6688,22.1078,20.44,10.331710291408466,10.331710291408466,22.636151951011566,22.636151951011566,0.005024,0.7124202157337012,0.6548061894865199,0.7412505461929121,0.6226519012980462,,0.01,0.01,True,30
500,fixed_delta_0.015,F_delta_0.015,0.015,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4691,0.9382,0.9392,0.9392,0.9392,0.9392,0.003379448475713159,0.010527836199070505,0.11730649211149737,0.08430714388694079,0.08495356559030184,0.35179945140125574,0.3264045992199977,0.4888464467919433,0.5559583189873338,0.8142853869301752,0.3473751789739426,0.0,-3.43947216380093,0.08974640712181571,0.042,0.0188,0.1031917452243594,0.1031917452243594,0.2267350637281619,0.2267350637281619,6.7344,6.7344,14.598,6.836,6.7752,15.051,14.6374,6.879449681623961,6.879449681623961,15.1156709152108,15.1156709152108,0.0075,0.802771614563693,0.756610663684228,0.8239582517771165,0.7294552866284457,,0.015,0.015,True,30
500,fixed_delta_0.02,F_delta_0.02,0.02,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4218,0.8436,0.9392,0.9392,0.9392,0.9392,0.003379448475713159,0.011001637033455388,0.12271975665828834,0.0841636157184361,0.08487127620917644,0.35141550054725146,0.31813600942219894,0.514163966700444,0.6108366051908374,0.7797421389674434,0.3464602933539195,0.0,-3.4389983629665446,0.08964845867556037,0.0434,0.0174,0.10388674282293296,0.10388674282293296,0.22713008784073263,0.22713008784073263,5.1612,5.1612,11.2274,5.1804,5.1682,11.344,11.2344,5.194337141146651,5.194337141146651,11.356504392036632,11.356504392036632,0.01,0.8510338231658888,0.8150805144822618,0.8675515553678531,0.7925155272244421,,0.02,0.02,True,30
500,fixed_delta_0.025,F_delta_0.025,0.025,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,4999,0.9998,5000,1.0,1116,0.2232,0.9306,0.9306,0.9306,0.9306,0.0035939849749268573,0.011962124276608834,0.1361572341429317,0.08531613470780441,0.08614220504561607,0.34438614897440883,0.3148387146927396,0.4510690278979636,0.6125024309243524,0.8714678616203395,0.33922780214518566,0.0,-3.438037875723391,0.08785522379260097,0.0482,0.0212,0.1034085319038853,0.1034085319038853,0.22699300984886572,0.22699300984886572,4.1344,4.1344,9.0458,4.1372,4.1346,9.0804,9.046,4.136341276155413,4.136341276155413,9.079720393954629,9.079720393954629,0.012499999999999999,0.880617188664793,0.8516836052323054,0.8939215629149008,0.8328137546267591,,0.025,0.025,True,30
500,fixed_delta_0.03,F_delta_0.03,0.03,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,4967,0.9934,5000,1.0,27,0.0054,0.9248,0.9248,0.9248,0.9248,0.003729476102618169,0.012124683305956074,0.14083122491456931,0.08747436598139181,0.08830199485954682,0.33748116041799076,0.31680280033422376,0.42292189742040065,0.47428311312038113,0.8914166623027721,0.33112089724629545,0.0,-3.4378753166940443,0.08609371475190335,0.0524,0.0228,0.1027565821915423,0.1027565821915423,0.22626043637608864,0.22626043637608864,3.4152,3.4152,7.5346,3.4158,3.4152,7.5442,7.5346,3.4252194063847448,3.4252194063847448,7.542014545869623,7.542014545869623,0.015,0.900398795094577,0.8758856352569381,0.9115609037052829,0.8603748102025714,,0.03,0.03,True,30
500,fixed_delta_0.035,F_delta_0.035,0.035,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,4497,0.8994,5000,1.0,0,0.0,0.9304,0.9304,0.9304,0.9304,0.003598773124274438,0.013712718653893523,0.15875349395266386,0.08865947418881294,0.08970489906267626,0.338593299871255,0.32244606069350246,0.4193768570776598,0.4604242646380236,0.854257027891655,0.33180335947113165,0.0,-3.4362872813461074,0.08637742900941946,0.0504,0.0192,0.10292193123670547,0.10292193123670547,0.22644159485735763,0.22644159485735763,2.9544,2.9544,6.4574,2.9544,2.9544,6.4618,6.4574,2.9406266067630145,2.9406266067630145,6.469759853067362,6.469759853067362,0.0175,0.9146970551469183,0.8937215052870683,0.9241883593364538,0.8802869035096031,,0.035,0.035,True,30
500,fixed_delta_0.04,F_delta_0.04,0.04,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,2932,0.5864,5000,1.0,0,0.0,0.9282,0.9282,0.9282,0.9282,0.0036508837286333834,0.015249799181361363,0.17377225377515648,0.08987475999160774,0.09115049843047612,0.344002641590988,0.33301323296416324,0.42006562792306745,0.4561097327588535,0.5680119891620562,0.3400153731324589,0.0,-3.4347502008186392,0.08775738847867533,0.0546,0.0172,0.10303757819977864,0.10303757819977864,0.22636350782461906,0.22636350782461906,2.5892,2.5892,5.6586,2.5892,2.5892,5.6602,5.6586,2.575939454994467,2.575939454994467,5.659087695615477,5.659087695615477,0.02,0.9253356007174461,0.9067920132764091,0.933651642661704,0.8951773990241694,,0.04,0.04,True,30
500,fixed_delta_0.045,F_delta_0.045,0.045,True,True,both,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,1095,0.219,5000,1.0,0,0.0,0.929,0.929,0.929,0.929,0.0036320517617456933,0.017659540135703873,0.20001416361275423,0.08983526750824565,0.09154572939807148,0.34609611663833284,0.33764405727810365,0.41676461265460546,0.4480878710438637,0.5323188844314096,0.34426175195720987,0.0,-3.4323404598642955,0.08829144804912098,0.0534,0.0176,0.10349575282578967,0.10349575282578967,0.22836138364997277,0.22836138364997277,2.2192,2.2192,5.0754,2.2192,2.2192,5.0756,5.0754,2.299905618350883,2.299905618350883,5.07469741444384,5.07469741444384,0.022499999999999996,0.9333707418696664,0.9173709674414522,0.9411034488754514,0.9065119007288729,,0.045,0.045,True,30
500,fixed_delta_0.05,F_delta_0.05,0.05,True,True,both,RBC MSE,5000,4999,0.9998,0.00019999999999997797,4998,0.9996,2,0.00039999999999995595,4998,0.9996,316,0.0632,4998,0.9996,0,0.0,0.9265853170634126,0.9265706282513005,0.9262,0.9265706282513005,0.0036895724685467846,0.023361816136841396,0.27022119830597685,0.08766148180083219,0.09071258083993682,0.3388950869043871,0.3324749479298794,0.4015974317277656,0.42984111802092645,0.50094912174803,0.3377559071540978,0.0002,-3.4266381838631585,0.08645441691213414,0.05722288915566227,0.016206482593037214,0.10632172921098122,0.10632172921098122,0.2373887693319272,0.2373887693319272,2.0634126825365073,2.0634126825365073,4.746149229845969,2.0634126825365073,2.0634126825365073,4.746149229845969,4.746149229845969,2.126434584219625,2.126434584219625,4.747775386638544,4.747775386638544,0.024999999999999994,0.940314243040109,0.9257884456704766,0.9473745950722519,0.9150099766857004,,0.05,0.05,True,30
500,shrinking_delta,S_shrink_delta_0.0500,0.05,True,False,general,RBC MSE,5000,4999,0.9998,0.00019999999999997797,4998,0.9996,2,0.00039999999999995595,4998,0.9996,316,0.0632,4998,0.9996,0,0.0,0.9265853170634126,0.9265706282513005,0.9262,0.9265706282513005,0.0036895724685467846,0.023361816136841396,0.27022119830597685,0.08766148180083219,0.09071258083993682,0.3388950869043871,0.3324749479298794,0.4015974317277656,0.42984111802092645,0.50094912174803,0.3377559071540978,0.0002,-3.4266381838631585,0.08645441691213414,0.05722288915566227,0.016206482593037214,0.10632172921098122,0.10632172921098122,0.2373887693319272,0.2373887693319272,2.0634126825365073,2.0634126825365073,4.746149229845969,2.0634126825365073,2.0634126825365073,4.746149229845969,4.746149229845969,2.126434584219625,2.126434584219625,4.747775386638544,4.747775386638544,0.024999999999999994,0.940314243040109,0.9257884456704766,0.9473745950722519,0.9150099766857004,,0.05,0.05,True,30
750,continuous,C0_continuous,,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4992,0.9984,0.9302,0.9302,0.9302,0.9302,0.0036035526914421547,0.0066174779835978595,0.09369677973437728,0.07195062359735811,0.07224713054831239,0.27685089184724376,0.2668969826557457,0.3548263178680799,0.3928746188629748,0.48212520024764083,0.2752217325714882,0.0,-3.4433825220164023,0.07062652529102782,0.0458,0.024,0.09021943289357887,0.09021943289357887,0.2061603547194097,0.2061603547194097,37.1618,37.1618,76.5026,46.0128,38.2152,116.1324,76.5192,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0,True,30
750,fixed_delta_0.01,F_delta_0.01,0.01,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4996,0.9992,0.9374,0.9374,0.9374,0.9374,0.0034258207775655744,0.0077405360539187255,0.10817741691832698,0.07122866805767207,0.07164094043939813,0.2804868579579526,0.26960892839886963,0.3615758353947994,0.4019882708518171,0.5008062941100601,0.2786444178227106,0.0,-3.442259463946082,0.07155408471033066,0.0428,0.0198,0.09309256433501979,0.09309256433501979,0.2102086331425147,0.2102086331425147,9.126,9.126,20.3682,9.2552,9.1732,20.9392,20.4122,9.309256433501984,9.309256433501984,21.020863314251475,21.020863314251475,0.005002,0.8016131449394148,0.7610164236365566,0.8221672118304901,0.7352812061027597,,0.01,0.01,True,30
750,fixed_delta_0.015,F_delta_0.015,0.015,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,4977,0.9954,0.9248,0.9248,0.9248,0.9248,0.003729476102618169,0.008082327235618195,0.11477282036211123,0.0721646133044967,0.07260863502813199,0.2760421891367635,0.2638987712607719,0.3551037958593055,0.4024766531206086,0.5140794753741695,0.2741590579357509,0.0,-3.4419176727643817,0.0704202197882586,0.0494,0.0258,0.09303544559924729,0.09303544559924729,0.2104519350060446,0.2104519350060446,6.1944,6.1944,13.9534,6.2036,6.1964,14.0274,13.9562,6.202363039949823,6.202363039949823,14.030129000402976,14.030129000402976,0.0075,0.8668046809168358,0.8384353039666629,0.8810942230493715,0.8190146536389585,,0.015,0.015,True,30
750,fixed_delta_0.02,F_delta_0.02,0.02,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,3090,0.618,0.9256,0.9256,0.9256,0.9256,0.0037111895667023,0.008259182130934871,0.11777196891606556,0.07263115432195753,0.07309202152558329,0.2748990216836042,0.26377877976475794,0.3422824862225392,0.37883395511903184,0.5386993045279225,0.2722398494255903,0.0,-3.441740817869066,0.07012859007919851,0.0504,0.024,0.09328356183033874,0.09328356183033874,0.21078712169379551,0.21078712169379551,4.6604,4.6604,10.5294,4.6616,4.6606,10.5424,10.5296,4.6641780915169395,4.6641780915169395,10.539356084689777,10.539356084689777,0.01,0.9001287310821355,0.8784839513460873,0.9107800249900844,0.8636136581379426,,0.02,0.02,True,30
750,fixed_delta_0.025,F_delta_0.025,0.025,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,5000,1.0,5000,1.0,181,0.0362,0.9266,0.9266,0.9266,0.9266,0.003688155094352731,0.009677923297730713,0.13819198010989425,0.07327797397228138,0.07390703441855317,0.27452216971794047,0.266117003590975,0.33779511563321324,0.3655056117455571,0.42512712003102576,0.27261847730255273,0.0,-3.440322076702269,0.07003245260712343,0.0492,0.0242,0.09357889895959512,0.09357889895959512,0.21133554605797628,0.21133554605797628,3.7622,3.7622,8.457,3.7622,3.7622,8.4588,8.457,3.7431559583838068,3.7431559583838068,8.453421842319052,8.453421842319052,0.012499999999999999,0.9201319880647949,0.9026386998439957,0.9286617456365207,0.8907049440173993,,0.025,0.025,True,30
750,fixed_delta_0.03,F_delta_0.03,0.03,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,4888,0.9776,5000,1.0,0,0.0,0.9294,0.9294,0.9294,0.9294,0.0036225858167888863,0.010992946635831197,0.15588744794643045,0.07399041047229588,0.07479525921760474,0.27642738108848836,0.2700469302911914,0.3364615740182131,0.36234613064335797,0.4121569900137563,0.2754227431681433,0.0,-3.4390070533641692,0.07051848484689313,0.0484,0.0222,0.0939054148625292,0.0939054148625292,0.21220137968246694,0.21220137968246694,3.1072,3.1072,7.0722,3.1072,3.1072,7.0724,7.0722,3.130180495417641,3.130180495417641,7.073379322748901,7.073379322748901,0.015,0.9333613072019717,0.9190166822438578,0.9406008173919436,0.9088103629033303,,0.03,0.03,True,30
750,fixed_delta_0.035,F_delta_0.035,0.035,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,3738,0.7476,5000,1.0,0,0.0,0.9248,0.9248,0.9248,0.9248,0.003729476102618169,0.011430481051206285,0.15800357530740927,0.07599901260470959,0.07684627931116386,0.2835800537139023,0.27796583072060077,0.34128817646813875,0.3657477133926731,0.4137555898166813,0.28282259376936675,0.0,-3.438569518948794,0.07234317976012454,0.052,0.0232,0.09408478266122558,0.09408478266122558,0.21235726669070923,0.21235726669070923,2.7516,2.7516,6.0684,2.7516,2.7516,6.0686,6.0684,2.688136647463589,2.688136647463589,6.067350476877406,6.067350476877406,0.0175,0.9430564612275539,0.9303299587910673,0.94911309644073,0.9218037040134325,,0.035,0.035,True,30
750,fixed_delta_0.04,F_delta_0.04,0.04,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,1382,0.2764,5000,1.0,0,0.0,0.924,0.924,0.924,0.924,0.0037476392569189463,0.013960345833010427,0.1880753311655681,0.07624047075679749,0.07750056848255435,0.29096612378512215,0.28654916078917786,0.3425569072986955,0.36294760587557395,0.41142706500512666,0.2903108572354392,0.0,-3.43603965416699,0.07422741593218696,0.054,0.022,0.09443771459330413,0.09443771459330413,0.2129320805627596,0.2129320805627596,2.2764,2.2764,5.3338,2.2764,2.2764,5.3338,5.3338,2.3609428648326043,2.3609428648326043,5.323302014068991,5.323302014068991,0.02,0.9498820426158129,0.939206962992314,0.9554744938508682,0.9314978716243862,,0.04,0.04,True,30
750,shrinking_delta,S_shrink_delta_0.0408,0.0408248290463863,True,False,general,RBC MSE,5000,5000,1.0,0.0,5000,1.0,0,0.0,5000,1.0,1114,0.2228,5000,1.0,0,0.0,0.9242,0.9242,0.9242,0.9242,0.0037431099369374657,0.014804384574172559,0.19937937865954913,0.07647084369728582,0.07788318291138052,0.2910638078394761,0.28703919592413163,0.34134818449115834,0.3621601926002351,0.411327052610919,0.2904126417588001,0.0,-3.4351956154258274,0.07425233579171611,0.0552,0.0206,0.094643676199935,0.094643676199935,0.21385260164818481,0.21385260164818481,2.223,2.223,5.2492,2.223,2.223,5.2494,5.2492,2.318287140710333,2.318287140710333,5.238297542047258,5.238297542047258,0.020412414522999998,0.9508804808166129,0.940433171000094,0.9564049631477634,0.932802426728994,,0.0408248290463863,0.041,True,30
750,fixed_delta_0.045,F_delta_0.045,0.045,True,False,general,RBC MSE,5000,4999,0.9998,0.00019999999999997797,4998,0.9996,2,0.00039999999999995595,4998,0.9996,212,0.0424,4998,0.9996,0,0.0,0.9251850370074015,0.9251700680272109,0.9248,0.9251700680272109,0.0037217769008992727,0.01733636120042055,0.23484399638310557,0.07562847713581267,0.07758267578838964,0.2893720435618192,0.28611880136554957,0.33600610327916164,0.3529643593097275,0.3964386501619156,0.28887030000579206,0.0002,-3.4326636387995793,0.07382075534151364,0.05682272909163665,0.01800720288115246,0.0947570726070973,0.0947570726070973,0.2146098336037761,0.2146098336037761,2.0424084816963393,2.0424084816963393,4.766153230646129,2.0424084816963393,2.0424084816963393,4.766153230646129,4.766153230646129,2.1057127246021627,2.1057127246021627,4.769107413417249,4.769107413417249,0.022499999999999992,0.9555382267972833,0.9461218532250454,0.96048159937833,0.9390036412874614,,0.045,0.045,True,30
