n,regime,scenario,delta,n_with_diagnostics,rbc_min_support_rate,rbc_support_adequate_rate,h_left_mean,h_left_median,h_left_min,h_left_max,h_right_mean,h_right_median,h_right_min,h_right_max,b_left_mean,b_left_median,b_left_min,b_left_max,b_right_mean,b_right_median,b_right_min,b_right_max,unique_h_left_mean,unique_h_left_median,unique_h_left_min,unique_h_left_max,unique_h_right_mean,unique_h_right_median,unique_h_right_min,unique_h_right_max,unique_b_left_mean,unique_b_left_median,unique_b_left_min,unique_b_left_max,unique_b_right_mean,unique_b_right_median,unique_b_right_min,unique_b_right_max,obs_h_left_mean,obs_h_left_median,obs_h_left_min,obs_h_left_max,obs_h_right_mean,obs_h_right_median,obs_h_right_min,obs_h_right_max,obs_b_left_mean,obs_b_left_median,obs_b_left_min,obs_b_left_max,obs_b_right_mean,obs_b_right_median,obs_b_right_min,obs_b_right_max,min_unique_h_mean,min_unique_h_median,min_unique_h_min,min_unique_h_max,min_unique_b_mean,min_unique_b_median,min_unique_b_min,min_unique_b_max,h_over_delta_left_mean,h_over_delta_left_median,h_over_delta_left_min,h_over_delta_left_max,h_over_delta_right_mean,h_over_delta_right_median,h_over_delta_right_min,h_over_delta_right_max,b_over_delta_left_mean,b_over_delta_left_median,b_over_delta_left_min,b_over_delta_left_max,b_over_delta_right_mean,b_over_delta_right_median,b_over_delta_right_min,b_over_delta_right_max,nearest_support_distance_mean,nearest_support_distance_median,nearest_support_distance_min,nearest_support_distance_max,M_left_rdrobust_mean,M_left_rdrobust_median,M_left_rdrobust_min,M_left_rdrobust_max,M_right_rdrobust_mean,M_right_rdrobust_median,M_right_rdrobust_min,M_right_rdrobust_max
1000,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.0869170506763618,0.08660838860156655,0.0604244376872333,0.1216240103247184,0.0869170506763618,0.08660838860156655,0.0604244376872333,0.1216240103247184,0.2004153207131599,0.1999954960552344,0.1473769430509549,0.2594354848305512,0.2004153207131599,0.1999954960552344,0.1473769430509549,0.2594354848305512,8.6784,9.0,6.0,12.0,8.658,9.0,6.0,12.0,20.023,20.0,15.0,26.0,19.863,20.0,15.0,26.0,58.9512,58.0,24.0,95.0,49.1876,49.0,24.0,80.0,149.9074,149.0,93.0,241.0,100.1148,100.0,66.0,142.0,8.6486,9.0,6.0,12.0,19.8522,20.0,15.0,26.0,8.691705067636184,8.660838860156659,6.04244376872333,12.162401032471848,8.691705067636184,8.660838860156659,6.04244376872333,12.162401032471848,20.041532071315995,19.99954960552345,14.737694305095497,25.94354848305512,20.041532071315995,19.99954960552345,14.737694305095497,25.94354848305512,0.005,0.005,0.005,0.005,97.852,98.0,93.0,100.0,57.6362,58.0,46.0,69.0
1500,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.0792917467023352,0.079122464786626,0.057507422639392,0.1111767400033513,0.0792917467023352,0.079122464786626,0.057507422639392,0.1111767400033513,0.18793353000339524,0.18745722378837254,0.142624167041572,0.237565690112712,0.18793353000339524,0.18745722378837254,0.142624167041572,0.237565690112712,7.925,8.0,6.0,11.0,7.9238,8.0,6.0,11.0,18.796,19.0,14.0,24.0,18.7804,19.0,14.0,24.0,80.0914,80.0,40.0,127.0,67.9912,68.0,34.0,111.0,208.7358,208.0,121.0,288.0,143.1276,143.0,97.0,212.0,7.9236,8.0,6.0,11.0,18.78,19.0,14.0,24.0,7.9291746702335235,7.912246478662606,5.750742263939204,11.11767400033514,7.9291746702335235,7.912246478662606,5.750742263939204,11.11767400033514,18.79335300033953,18.74572237883726,14.262416704157207,23.7565690112712,18.79335300033953,18.74572237883726,14.262416704157207,23.7565690112712,0.005,0.005,0.005,0.005,98.645,99.0,95.0,100.0,63.5644,64.0,54.0,73.0
2000,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.07453168737131056,0.0743300096211311,0.0530762699637196,0.1021732505277377,0.07453168737131056,0.0743300096211311,0.0530762699637196,0.1021732505277377,0.1798553412177974,0.1793444012766499,0.1379203183414362,0.2258282646365744,0.1798553412177974,0.1793444012766499,0.1379203183414362,0.2258282646365744,7.4542,7.0,5.0,10.0,7.4542,7.0,5.0,10.0,17.9858,18.0,14.0,23.0,17.9844,18.0,14.0,23.0,100.0418,100.0,54.0,154.0,85.9118,86.0,35.0,133.0,264.6238,263.0,170.0,356.0,184.56,184.0,135.0,251.0,7.4542,7.0,5.0,10.0,17.9844,18.0,14.0,23.0,7.45316873713106,7.433000962113114,5.30762699637196,10.217325052773774,7.45316873713106,7.433000962113114,5.30762699637196,10.217325052773774,17.985534121779743,17.934440127664992,13.792031834143629,22.58282646365744,17.985534121779743,17.934440127664992,13.792031834143629,22.58282646365744,0.005,0.005,0.005,0.005,99.0158,99.0,95.0,100.0,67.1688,67.0,57.0,76.0
3000,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.06828703624973156,0.0680872324346198,0.0508225334759441,0.0899369057121619,0.06828703624973156,0.0680872324346198,0.0508225334759441,0.0899369057121619,0.16893613765591267,0.1685138174504982,0.1344416625990708,0.2070021834215549,0.16893613765591267,0.1685138174504982,0.1344416625990708,0.2070021834215549,6.8338,7.0,5.0,9.0,6.8338,7.0,5.0,9.0,16.8914,17.0,13.0,21.0,16.8914,17.0,13.0,21.0,136.765,137.0,78.0,206.0,118.9568,119.0,52.0,179.0,369.3702,368.0,262.0,490.0,263.3756,263.0,200.0,351.0,6.8338,7.0,5.0,9.0,16.8914,17.0,13.0,21.0,6.828703624973161,6.808723243461989,5.082253347594413,8.993690571216192,6.828703624973161,6.808723243461989,5.082253347594413,8.993690571216192,16.893613765591265,16.851381745049824,13.44416625990708,20.70021834215549,16.893613765591265,16.851381745049824,13.44416625990708,20.70021834215549,0.005,0.005,0.005,0.005,99.388,99.0,97.0,100.0,71.617,72.0,63.0,81.0
4000,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.06422069658565378,0.0641303348840873,0.0496739742877164,0.0811878482825335,0.06422069658565378,0.0641303348840873,0.0496739742877164,0.0811878482825335,0.16169972312754377,0.16111259348772722,0.1336149098474786,0.2008627172749594,0.16169972312754377,0.16111259348772722,0.1336149098474786,0.2008627172749594,6.4042,6.0,5.0,8.0,6.4042,6.0,5.0,8.0,16.1718,16.0,13.0,20.0,16.1718,16.0,13.0,20.0,170.1566,169.0,108.0,249.0,149.3144,148.0,83.0,210.0,468.6474,466.0,348.0,607.0,338.9228,338.0,257.0,417.0,6.4042,6.0,5.0,8.0,16.1718,16.0,13.0,20.0,6.422069658565382,6.413033488408735,4.967397428771645,8.118784828253352,6.422069658565382,6.413033488408735,4.967397428771645,8.118784828253352,16.169972312754382,16.111259348772727,13.361490984747864,20.086271727495948,16.169972312754382,16.111259348772727,13.361490984747864,20.086271727495948,0.005,0.005,0.005,0.005,99.5788,100.0,97.0,100.0,74.3692,74.0,66.0,83.0
5000,fixed_delta_0.01,F_delta_0.01,0.01,5000,1.0,1.0,0.06122274479245999,0.0610964013322709,0.0470069862899933,0.0746113810454129,0.06122274479245999,0.0610964013322709,0.0470069862899933,0.0746113810454129,0.1562733845902196,0.15572394366384865,0.1336350070175976,0.1868654297138129,0.1562733845902196,0.15572394366384865,0.1336350070175976,0.1868654297138129,6.124,6.0,5.0,7.0,6.124,6.0,5.0,7.0,15.6234,16.0,13.0,19.0,15.6234,16.0,13.0,19.0,202.987,201.0,126.0,277.0,179.2192,178.0,111.0,246.0,563.4368,561.5,394.0,739.0,412.1208,412.0,316.0,505.0,6.124,6.0,5.0,7.0,15.6234,16.0,13.0,19.0,6.122274479246004,6.109640133227096,4.700698628999335,7.461138104541296,6.122274479246004,6.109640133227096,4.700698628999335,7.461138104541296,15.627338459021965,15.572394366384868,13.363500701759762,18.686542971381293,15.627338459021965,15.572394366384868,13.363500701759762,18.686542971381293,0.005,0.005,0.005,0.005,99.689,100.0,98.0,100.0,76.3086,76.0,66.0,85.0
500,fixed_delta_0.015,F_delta_0.015,0.015,5000,1.0,1.0,0.1031917452243594,0.10288650004916394,0.0657583495373963,0.1475698766461588,0.1031917452243594,0.10288650004916394,0.0657583495373963,0.1475698766461588,0.2267350637281619,0.22633532358785552,0.1487183273798466,0.3389718689052701,0.2267350637281619,0.22633532358785552,0.1487183273798466,0.3389718689052701,6.836,7.0,4.0,10.0,6.7752,7.0,3.0,10.0,15.051,15.0,10.0,23.0,14.6374,15.0,9.0,22.0,35.6228,35.0,12.0,71.0,28.7128,29.0,11.0,51.0,86.493,86.0,46.0,165.0,54.7988,55.0,26.0,84.0,6.7344,7.0,3.0,10.0,14.598,15.0,9.0,22.0,6.879449681623961,6.859100003277603,4.383889969159759,9.83799177641059,6.879449681623961,6.859100003277603,4.383889969159759,9.83799177641059,15.1156709152108,15.089021572523702,9.914555158656444,22.598124593684677,15.1156709152108,15.089021572523702,9.914555158656444,22.598124593684677,0.0075,0.0075,0.0075,0.0075,64.658,65.0,60.0,67.0,35.2122,35.0,26.0,44.0
750,fixed_delta_0.015,F_delta_0.015,0.015,5000,1.0,1.0,0.09303544559924729,0.0927658725735512,0.063005146274895,0.1328517687782572,0.09303544559924729,0.0927658725735512,0.063005146274895,0.1328517687782572,0.2104519350060446,0.21027969536200009,0.149824236270564,0.2945355549858349,0.2104519350060446,0.21027969536200009,0.149824236270564,0.2945355549858349,6.2036,6.0,4.0,9.0,6.1964,6.0,4.0,9.0,14.0274,14.0,10.0,20.0,13.9562,14.0,10.0,20.0,47.594,47.0,17.0,84.0,39.3008,39.0,16.0,67.0,119.0118,119.0,67.0,206.0,77.8684,78.0,48.0,118.0,6.1944,6.0,4.0,9.0,13.9534,14.0,10.0,20.0,6.202363039949823,6.184391504903417,4.200343084993001,8.856784585217149,6.202363039949823,6.184391504903417,4.200343084993001,8.856784585217149,14.030129000402976,14.018646357466675,9.988282418037604,19.63570366572233,14.030129000402976,14.018646357466675,9.988282418037604,19.63570366572233,0.0075,0.0075,0.0075,0.0075,65.4196,65.0,62.0,67.0,39.629,40.0,30.0,47.0
1000,fixed_delta_0.015,F_delta_0.015,0.015,5000,1.0,1.0,0.08718213383875804,0.08699406976398485,0.0589058006260503,0.1224654023062202,0.08718213383875804,0.08699406976398485,0.0589058006260503,0.1224654023062202,0.20094967341154837,0.200657185413971,0.1502696421998477,0.2662897536115284,0.20094967341154837,0.200657185413971,0.1502696421998477,0.2662897536115284,5.8094,6.0,4.0,8.0,5.8088,6.0,4.0,8.0,13.398,13.0,10.0,18.0,13.3864,13.0,10.0,18.0,59.1338,59.0,23.0,95.0,49.3284,49.0,25.0,80.0,150.4104,150.0,90.0,238.0,100.322,100.0,64.0,144.0,5.8088,6.0,4.0,8.0,13.3862,13.0,10.0,18.0,5.812142255917207,5.799604650932324,3.9270533750700256,8.164360153748017,5.812142255917207,5.799604650932324,3.9270533750700256,8.164360153748017,13.396644894103225,13.377145694264737,10.017976146656515,17.752650240768563,13.396644894103225,13.377145694264737,10.017976146656515,17.752650240768563,0.0075,0.0075,0.0075,0.0075,65.769,66.0,63.0,67.0,42.3422,42.0,32.0,52.0
1500,fixed_delta_0.015,F_delta_0.015,0.015,5000,1.0,1.0,0.07979766351870103,0.07964473092786856,0.0581135939876631,0.108804955973529,0.07979766351870103,0.07964473092786856,0.0581135939876631,0.108804955973529,0.18884020078676697,0.1882062800756975,0.1431533120734657,0.2431514928729149,0.18884020078676697,0.1882062800756975,0.1431533120734657,0.2431514928729149,5.3168,5.0,4.0,7.0,5.3168,5.0,4.0,7.0,12.5834,13.0,10.0,16.0,12.583,13.0,10.0,16.0,80.639,80.0,40.0,130.0,68.3728,68.0,34.0,112.0,209.7096,209.0,121.0,292.0,143.578,143.0,97.0,212.0,5.3168,5.0,4.0,7.0,12.583,13.0,10.0,16.0,5.3198442345800725,5.309648728524573,3.8742395991775433,7.253663731568606,5.3198442345800725,5.309648728524573,3.8742395991775433,7.253663731568606,12.5893467191178,12.547085338379834,9.54355413823105,16.210099524860997,12.5893467191178,12.547085338379834,9.54355413823105,16.210099524860997,0.0075,0.0075,0.0075,0.0075,66.1222,66.0,64.0,67.0,45.6824,46.0,38.0,53.0
